"45","","Angel Francisco González Velásquez","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"46","","Victor Israel Guerra Velásquez","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"47","","Sonia Marina Gutiérrez Raguay","MOVIMIENTO POLÍTICO 
WINAQ","A FAVOR"
"48","","Javier Alfonso Hernández Franco","FRENTE DE 
CONVERGENCIA NACIONAL","A FAVOR"
"49","","Olga Marina Juárez Alfaro","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"50","","Julio Francisco Lainfiesta Rímola","UNIÓN DEL CAMBIO 
NACIONAL","A FAVOR"
"51","","Francisco Vitelio Lam Ruano","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"52","","Candido Fernando Leal Gómez","VAMOS POR UNA 
GUATEMALA DIFERENTE","A FAVOR"
"53","","Josué Edmundo Lemus Cifuentes","VAMOS POR UNA 
GUATEMALA DIFERENTE","A FAVOR"
"Evaluation Only. Created with Aspose.PDF. Copyright 2002-2023 Aspose Pty Ltd."
"EVENTO DE VOTACIÓN # 9
APROBACIÓN DE LA REDACCIÓN FINAL DEL PROYECTO 
DE DECRETO QUE DISPONE APROBAR LA INICIATIVA DE ","Fecha y Hora: 
20-09-2023 13:09:00"
"LEY 6208 SESIÓN No.9",""
"","No.","NOMBRE","BLOQUE","VOTO EMITIDO"
"54","","Julio César Longo Maldonado","FRENTE DE 
CONVERGENCIA NACIONAL","A FAVOR"
"55","","Carlos Enrique López Maldonado","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"56","","Darwin Alberto Lucas Paz","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"57","","Vasny Adiel Maldonado Alonzo","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"58","","Emilio de Jesús Maldonado Trujillo","PARTIDO HUMANISTA DE 
GUATEMALA","A FAVOR"
"59","","Erick Geovany Martínez Hernández","UNIÓN DEL CAMBIO 
NACIONAL","A FAVOR"
"60","","Karla Andrea Martínez Hernández","UNIÓN DEL CAMBIO 
NACIONAL","A FAVOR"
"61","","Joel Rubén Martínez Herrera","FRENTE DE 
CONVERGENCIA NACIONAL","A FAVOR"
"62","","Marleni Lineth Matías Santiago","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"63","","Sergio Estuardo Matta Bailón","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"64","","Nery René Mazariegos López","PARTIDO POLÍTICO VISIÓN 
CON VALORES","A FAVOR"
"65","","Ernesto Omar Mazariegos Quej","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"66","","Petrona Mejía Chutá de Lara","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
"67","","Maynor Gabriel Mejía Popol","VAMOS POR UNA 
GUATEMALA DIFERENTE","A FAVOR"
"68","","Herber Armando Melgar Padilla","FRENTE DE 
CONVERGENCIA NACIONAL","A FAVOR"
"69","","Carlos Enrique Mencos Morales","UNIDAD NACIONAL DE LA 
ESPERANZA","A FAVOR"
